implementation,context_length,batch_size,split_kv,latency_ms_p50,latency_ms_p95,achieved_bw_gb_s,peak_bw_gb_s,bw_pct_of_peak,max_abs_err_vs_fp32
flashinfer,2048,1,1,0.086,0.1055,97.71,2000.0,4.89,8.2e-05
cuda_naive,2048,1,1,0.5857,0.59,14.35,2000.0,0.72,6e-05
cuda_split_kv,2048,1,1,0.5468,0.5509,15.37,2000.0,0.77,6e-05
cuda_split_kv,2048,1,2,0.2888,0.2971,29.11,2000.0,1.46,6e-05
cuda_split_kv,2048,1,4,0.1649,0.1741,50.98,2000.0,2.55,6e-05
cuda_split_kv,2048,1,8,0.1034,0.1106,81.27,2000.0,4.06,6e-05
cuda_split_kv,2048,1,16,0.0707,0.0727,118.96,2000.0,5.95,6e-05
flashinfer,2048,4,1,0.1075,0.1199,312.69,2000.0,15.63,8.2e-05
cuda_naive,2048,4,1,0.6246,0.635,53.82,2000.0,2.69,6e-05
cuda_split_kv,2048,4,1,0.5755,0.589,58.42,2000.0,2.92,6e-05
cuda_split_kv,2048,4,2,0.3267,0.3328,102.92,2000.0,5.15,6e-05
cuda_split_kv,2048,4,4,0.1935,0.2007,173.71,2000.0,8.69,6e-05
cuda_split_kv,2048,4,8,0.1956,0.2171,171.9,2000.0,8.59,6e-05
cuda_split_kv,2048,4,16,0.1966,0.2172,171.0,2000.0,8.55,6e-05
flashinfer,2048,16,1,0.1843,0.1895,729.6,2000.0,36.48,8.9e-05
cuda_naive,2048,16,1,0.7055,0.7117,190.61,2000.0,9.53,6e-05
cuda_split_kv,2048,16,1,0.6636,0.6707,202.67,2000.0,10.13,6e-05
cuda_split_kv,2048,16,2,0.6605,0.6657,203.61,2000.0,10.18,6e-05
cuda_split_kv,2048,16,4,0.6523,0.6625,206.17,2000.0,10.31,6e-05
cuda_split_kv,2048,16,8,0.6441,0.6533,208.79,2000.0,10.44,6e-05
cuda_split_kv,2048,16,16,0.64,0.6472,210.12,2000.0,10.51,6e-05
flashinfer,4096,1,1,0.0901,0.1076,186.36,2000.0,9.32,4.3e-05
